float,datetime
600.0,2014-04-07
400.0,2014-04-10
600.0,2014-04-14
400.0,2014-04-17
600.0,2014-04-21
400.0,2014-04-24
600.0,2014-04-28
400.0,2014-05-01
600.0,2014-05-05
400.0,2014-05-08
600.0,2014-05-12
400.0,2014-05-15
600.0,2014-05-19
400.0,2014-05-22
600.0,2014-05-26
400.0,2014-05-29
600.0,2014-06-02
400.0,2014-06-05
600.0,2014-06-09
400.0,2014-06-12
600.0,2014-06-16
400.0,2014-06-19
600.0,2014-06-23
400.0,2014-06-26
600.0,2014-06-30
400.0,2014-07-03
600.0,2014-07-07
400.0,2014-07-10
600.0,2014-07-14
400.0,2014-07-17
600.0,2014-07-21
400.0,2014-07-24
600.0,2014-07-28
400.0,2014-07-31
600.0,2014-08-04
400.0,2014-08-07
600.0,2014-08-11
400.0,2014-08-14
600.0,2014-08-18
400.0,2014-08-21
600.0,2014-08-25
400.0,2014-08-28
600.0,2014-09-01
400.0,2014-09-04
600.0,2014-09-08
400.0,2014-09-11
600.0,2014-09-15
400.0,2014-09-18
600.0,2014-09-22
400.0,2014-09-25
600.0,2014-09-29
400.0,2014-10-02
600.0,2014-10-06
400.0,2014-10-09
600.0,2014-10-13
400.0,2014-10-16
600.0,2014-10-20
400.0,2014-10-23
600.0,2014-10-27
400.0,2014-10-30
600.0,2014-11-03
400.0,2014-11-06
600.0,2014-11-10
400.0,2014-11-13
600.0,2014-11-17
400.0,2014-11-20
600.0,2014-11-24
400.0,2014-11-27
600.0,2014-12-01
400.0,2014-12-04
600.0,2014-12-08
400.0,2014-12-11
600.0,2014-12-15
400.0,2014-12-18
600.0,2014-12-22
400.0,2014-12-25
600.0,2014-12-29
400.0,2015-01-01
600.0,2015-01-05
400.0,2015-01-08
600.0,2015-01-12
400.0,2015-01-15
600.0,2015-01-19
400.0,2015-01-22
600.0,2015-01-26
400.0,2015-01-29
600.0,2015-02-02
400.0,2015-02-05
600.0,2015-02-09
400.0,2015-02-12
600.0,2015-02-16
400.0,2015-02-19
600.0,2015-02-23
400.0,2015-02-26
600.0,2015-03-02
400.0,2015-03-05
600.0,2015-03-09
400.0,2015-03-12
600.0,2015-03-16
400.0,2015-03-19
600.0,2015-03-23
400.0,2015-03-26
600.0,2015-03-30
400.0,2015-04-02
600.0,2015-04-06
400.0,2015-04-09
600.0,2015-04-13
400.0,2015-04-16
600.0,2015-04-20
400.0,2015-04-23
600.0,2015-04-27
400.0,2015-04-30
600.0,2015-05-04
400.0,2015-05-07
600.0,2015-05-11
400.0,2015-05-14
600.0,2015-05-18
400.0,2015-05-21
600.0,2015-05-25
400.0,2015-05-28
600.0,2015-06-01
400.0,2015-06-04
600.0,2015-06-08
400.0,2015-06-11
600.0,2015-06-15
400.0,2015-06-18
600.0,2015-06-22
400.0,2015-06-25
600.0,2015-06-29
400.0,2015-07-02
600.0,2015-07-06
400.0,2015-07-09
600.0,2015-07-13
400.0,2015-07-16
600.0,2015-07-20
400.0,2015-07-23
600.0,2015-07-27
400.0,2015-07-30
600.0,2015-08-03
400.0,2015-08-06
600.0,2015-08-10
400.0,2015-08-13
600.0,2015-08-17
400.0,2015-08-20
600.0,2015-08-24
400.0,2015-08-27
600.0,2015-08-31
400.0,2015-09-03
600.0,2015-09-07
400.0,2015-09-10
600.0,2015-09-14
400.0,2015-09-17
600.0,2015-09-21
400.0,2015-09-24
600.0,2015-09-28
400.0,2015-10-01
600.0,2015-10-05
400.0,2015-10-08
600.0,2015-10-12
400.0,2015-10-15
600.0,2015-10-19
400.0,2015-10-22
600.0,2015-10-26
400.0,2015-10-29
600.0,2015-11-02
400.0,2015-11-05
600.0,2015-11-09
400.0,2015-11-12
600.0,2015-11-16
400.0,2015-11-19
600.0,2015-11-23
400.0,2015-11-26
600.0,2015-11-30
400.0,2015-12-03
600.0,2015-12-07
400.0,2015-12-10
600.0,2015-12-14
400.0,2015-12-17
600.0,2015-12-21
400.0,2015-12-24
600.0,2015-12-28
400.0,2015-12-31
600.0,2016-01-04
400.0,2016-01-07
600.0,2016-01-11
400.0,2016-01-14
600.0,2016-01-18
400.0,2016-01-21
600.0,2016-01-25
400.0,2016-01-28
600.0,2016-02-01
400.0,2016-02-04
600.0,2016-02-08
400.0,2016-02-11
600.0,2016-02-15
400.0,2016-02-18
600.0,2016-02-22
400.0,2016-02-25
600.0,2016-02-29
400.0,2016-03-03
600.0,2016-03-07
400.0,2016-03-10
600.0,2016-03-14
400.0,2016-03-17
600.0,2016-03-21
400.0,2016-03-24
600.0,2016-03-28
400.0,2016-03-31
600.0,2016-04-04
400.0,2016-04-07
600.0,2016-04-11
400.0,2016-04-14
600.0,2016-04-18
400.0,2016-04-21
600.0,2016-04-25
400.0,2016-04-28
600.0,2016-05-02
400.0,2016-05-05
600.0,2016-05-09
400.0,2016-05-12
600.0,2016-05-16
400.0,2016-05-19
600.0,2016-05-23
400.0,2016-05-26
600.0,2016-05-30
400.0,2016-06-02
600.0,2016-06-06
400.0,2016-06-09
600.0,2016-06-13
400.0,2016-06-16
600.0,2016-06-20
400.0,2016-06-23
600.0,2016-06-27
400.0,2016-06-30
600.0,2016-07-04
400.0,2016-07-07
600.0,2016-07-11
400.0,2016-07-14
600.0,2016-07-18
400.0,2016-07-21
600.0,2016-07-25
400.0,2016-07-28
600.0,2016-08-01
400.0,2016-08-04
600.0,2016-08-08
400.0,2016-08-11
600.0,2016-08-15
400.0,2016-08-18
600.0,2016-08-22
400.0,2016-08-25
600.0,2016-08-29
400.0,2016-09-01
600.0,2016-09-05
400.0,2016-09-08
600.0,2016-09-12
400.0,2016-09-15
600.0,2016-09-19
400.0,2016-09-22
600.0,2016-09-26
400.0,2016-09-29
600.0,2016-10-03
400.0,2016-10-06
600.0,2016-10-10
400.0,2016-10-13
600.0,2016-10-17
400.0,2016-10-20
600.0,2016-10-24
400.0,2016-10-27
600.0,2016-10-31
400.0,2016-11-03
600.0,2016-11-07
400.0,2016-11-10
600.0,2016-11-14
400.0,2016-11-17
600.0,2016-11-21
400.0,2016-11-24
600.0,2016-11-28
400.0,2016-12-01
600.0,2016-12-05
400.0,2016-12-08
600.0,2016-12-12
400.0,2016-12-15
600.0,2016-12-19
400.0,2016-12-22
600.0,2016-12-26
400.0,2016-12-29
600.0,2017-01-02
400.0,2017-01-05
600.0,2017-01-09
400.0,2017-01-12
600.0,2017-01-16
400.0,2017-01-19
600.0,2017-01-23
400.0,2017-01-26
600.0,2017-01-30
400.0,2017-02-02
600.0,2017-02-06
400.0,2017-02-09
600.0,2017-02-13
400.0,2017-02-16
600.0,2017-02-20
400.0,2017-02-23
600.0,2017-02-27
400.0,2017-03-02
600.0,2017-03-06
400.0,2017-03-09
600.0,2017-03-13
400.0,2017-03-16
600.0,2017-03-20
400.0,2017-03-23
600.0,2017-03-27
400.0,2017-03-30
600.0,2017-04-03
400.0,2017-04-06
600.0,2017-04-10
400.0,2017-04-13
600.0,2017-04-17
400.0,2017-04-20
600.0,2017-04-24
400.0,2017-04-27
600.0,2017-05-01
400.0,2017-05-04
600.0,2017-05-08
400.0,2017-05-11
600.0,2017-05-15
400.0,2017-05-18
600.0,2017-05-22
400.0,2017-05-25
600.0,2017-05-29
400.0,2017-06-01
600.0,2017-06-05
400.0,2017-06-08
600.0,2017-06-12
400.0,2017-06-15
600.0,2017-06-19
400.0,2017-06-22
600.0,2017-06-26
400.0,2017-06-29
600.0,2017-07-03
400.0,2017-07-06
600.0,2017-07-10
400.0,2017-07-13
600.0,2017-07-17
400.0,2017-07-20
600.0,2017-07-24
400.0,2017-07-27
600.0,2017-07-31
400.0,2017-08-03
600.0,2017-08-07
400.0,2017-08-10
600.0,2017-08-14
400.0,2017-08-17
600.0,2017-08-21
400.0,2017-08-24
600.0,2017-08-28
400.0,2017-08-31
600.0,2017-09-04
400.0,2017-09-07
600.0,2017-09-11
400.0,2017-09-14
600.0,2017-09-18
400.0,2017-09-21
600.0,2017-09-25
400.0,2017-09-28
600.0,2017-10-02
400.0,2017-10-05
600.0,2017-10-09
400.0,2017-10-12
600.0,2017-10-16
400.0,2017-10-19
600.0,2017-10-23
400.0,2017-10-26
600.0,2017-10-30
400.0,2017-11-02
600.0,2017-11-06
400.0,2017-11-09
600.0,2017-11-13
400.0,2017-11-16
600.0,2017-11-20
400.0,2017-11-23
600.0,2017-11-27
400.0,2017-11-30
600.0,2017-12-04
400.0,2017-12-07
600.0,2017-12-11
400.0,2017-12-14
600.0,2017-12-18
400.0,2017-12-21
600.0,2017-12-25
400.0,2017-12-28
600.0,2018-01-01
400.0,2018-01-04
600.0,2018-01-08
400.0,2018-01-11
600.0,2018-01-15
400.0,2018-01-18
600.0,2018-01-22
400.0,2018-01-25
600.0,2018-01-29
400.0,2018-02-01
600.0,2018-02-05
400.0,2018-02-08
600.0,2018-02-12
400.0,2018-02-15
600.0,2018-02-19
400.0,2018-02-22
600.0,2018-02-26
400.0,2018-03-01
600.0,2018-03-05
400.0,2018-03-08
600.0,2018-03-12
400.0,2018-03-15
600.0,2018-03-19
400.0,2018-03-22
600.0,2018-03-26
400.0,2018-03-29
600.0,2018-04-02
400.0,2018-04-05
600.0,2018-04-09
400.0,2018-04-12
600.0,2018-04-16
400.0,2018-04-19
600.0,2018-04-23
400.0,2018-04-26
600.0,2018-04-30
400.0,2018-05-03
600.0,2018-05-07
400.0,2018-05-10
600.0,2018-05-14
400.0,2018-05-17
600.0,2018-05-21
400.0,2018-05-24
600.0,2018-05-28
400.0,2018-05-31
600.0,2018-06-04
400.0,2018-06-07
600.0,2018-06-11
400.0,2018-06-14
600.0,2018-06-18
400.0,2018-06-21
600.0,2018-06-25
400.0,2018-06-28
600.0,2018-07-02
400.0,2018-07-05
600.0,2018-07-09
400.0,2018-07-12
600.0,2018-07-16
400.0,2018-07-19
600.0,2018-07-23
400.0,2018-07-26
600.0,2018-07-30
400.0,2018-08-02
600.0,2018-08-06
400.0,2018-08-09
600.0,2018-08-13
400.0,2018-08-16
600.0,2018-08-20
400.0,2018-08-23
600.0,2018-08-27
400.0,2018-08-30
600.0,2018-09-03
400.0,2018-09-06
600.0,2018-09-10
400.0,2018-09-13
600.0,2018-09-17
400.0,2018-09-20
600.0,2018-09-24
400.0,2018-09-27
600.0,2018-10-01
400.0,2018-10-04
600.0,2018-10-08
400.0,2018-10-11
600.0,2018-10-15
400.0,2018-10-18
600.0,2018-10-22
400.0,2018-10-25
600.0,2018-10-29
400.0,2018-11-01
600.0,2018-11-05
400.0,2018-11-08
600.0,2018-11-12
400.0,2018-11-15
600.0,2018-11-19
400.0,2018-11-22
600.0,2018-11-26
400.0,2018-11-29
600.0,2018-12-03
400.0,2018-12-06
600.0,2018-12-10
400.0,2018-12-13
600.0,2018-12-17
400.0,2018-12-20
600.0,2018-12-24
400.0,2018-12-27
600.0,2018-12-31
400.0,2019-01-03
600.0,2019-01-07
400.0,2019-01-10
600.0,2019-01-14
400.0,2019-01-17
600.0,2019-01-21
400.0,2019-01-24
600.0,2019-01-28
400.0,2019-01-31
600.0,2019-02-04
400.0,2019-02-07
600.0,2019-02-11
400.0,2019-02-14
600.0,2019-02-18
400.0,2019-02-21
600.0,2019-02-25
400.0,2019-02-28
600.0,2019-03-04
400.0,2019-03-07
600.0,2019-03-11
400.0,2019-03-14
600.0,2019-03-18
400.0,2019-03-21
600.0,2019-03-25
400.0,2019-03-28
600.0,2019-04-01
400.0,2019-04-04
600.0,2019-04-08
400.0,2019-04-11
600.0,2019-04-15
400.0,2019-04-18
600.0,2019-04-22
400.0,2019-04-25
600.0,2019-04-29
400.0,2019-05-02
600.0,2019-05-06
400.0,2019-05-09
600.0,2019-05-13
400.0,2019-05-16
600.0,2019-05-20
400.0,2019-05-23
600.0,2019-05-27
400.0,2019-05-30
600.0,2019-06-03
400.0,2019-06-06
600.0,2019-06-10
400.0,2019-06-13
600.0,2019-06-17
400.0,2019-06-20
600.0,2019-06-24
400.0,2019-06-27
600.0,2019-07-01
400.0,2019-07-04
600.0,2019-07-08
400.0,2019-07-11
600.0,2019-07-15
400.0,2019-07-18
600.0,2019-07-22
400.0,2019-07-25
600.0,2019-07-29
400.0,2019-08-01
600.0,2019-08-05
400.0,2019-08-08
600.0,2019-08-12
400.0,2019-08-15
600.0,2019-08-19
400.0,2019-08-22
600.0,2019-08-26
400.0,2019-08-29
600.0,2019-09-02
400.0,2019-09-05
600.0,2019-09-09
400.0,2019-09-12
600.0,2019-09-16
400.0,2019-09-19
600.0,2019-09-23
400.0,2019-09-26
600.0,2019-09-30
400.0,2019-10-03
600.0,2019-10-07
400.0,2019-10-10
600.0,2019-10-14
400.0,2019-10-17
600.0,2019-10-21
400.0,2019-10-24
600.0,2019-10-28
400.0,2019-10-31
600.0,2019-11-04
400.0,2019-11-07
600.0,2019-11-11
400.0,2019-11-14
600.0,2019-11-18
400.0,2019-11-21
600.0,2019-11-25
400.0,2019-11-28
600.0,2019-12-02
400.0,2019-12-05
600.0,2019-12-09
400.0,2019-12-12
600.0,2019-12-16
400.0,2019-12-19
600.0,2019-12-23
400.0,2019-12-26
600.0,2019-12-30
400.0,2020-01-02
600.0,2020-01-06
400.0,2020-01-09
600.0,2020-01-13
400.0,2020-01-16
600.0,2020-01-20
400.0,2020-01-23
600.0,2020-01-27
400.0,2020-01-30
600.0,2020-02-03
400.0,2020-02-06
600.0,2020-02-10
400.0,2020-02-13
600.0,2020-02-17
400.0,2020-02-20
600.0,2020-02-24
400.0,2020-02-27
600.0,2020-03-02
400.0,2020-03-05
600.0,2020-03-09
400.0,2020-03-12
600.0,2020-03-16
400.0,2020-03-19
600.0,2020-03-23
400.0,2020-03-26
600.0,2020-03-30
400.0,2020-04-02
600.0,2020-04-06
400.0,2020-04-09
600.0,2020-04-13
400.0,2020-04-16
600.0,2020-04-20
400.0,2020-04-23
600.0,2020-04-27
400.0,2020-04-30
600.0,2020-05-04
400.0,2020-05-07
600.0,2020-05-11
400.0,2020-05-14
600.0,2020-05-18
400.0,2020-05-21
600.0,2020-05-25
400.0,2020-05-28
600.0,2020-06-01
400.0,2020-06-04
600.0,2020-06-08
400.0,2020-06-11
600.0,2020-06-15
400.0,2020-06-18
600.0,2020-06-22
400.0,2020-06-25
600.0,2020-06-29
400.0,2020-07-02
600.0,2020-07-06
400.0,2020-07-09
600.0,2020-07-13
400.0,2020-07-16
600.0,2020-07-20
400.0,2020-07-23
600.0,2020-07-27
400.0,2020-07-30
600.0,2020-08-03
400.0,2020-08-06
600.0,2020-08-10
400.0,2020-08-13
600.0,2020-08-17
400.0,2020-08-20
600.0,2020-08-24
400.0,2020-08-27
600.0,2020-08-31
400.0,2020-09-03
600.0,2020-09-07
400.0,2020-09-10
600.0,2020-09-14
400.0,2020-09-17
600.0,2020-09-21
400.0,2020-09-24
600.0,2020-09-28
400.0,2020-10-01
600.0,2020-10-05
400.0,2020-10-08
600.0,2020-10-12
400.0,2020-10-15
600.0,2020-10-19
400.0,2020-10-22
600.0,2020-10-26
400.0,2020-10-29
600.0,2020-11-02
400.0,2020-11-05
600.0,2020-11-09
400.0,2020-11-12
600.0,2020-11-16
400.0,2020-11-19
600.0,2020-11-23
400.0,2020-11-26
600.0,2020-11-30
400.0,2020-12-03
600.0,2020-12-07
400.0,2020-12-10
600.0,2020-12-14
400.0,2020-12-17
600.0,2020-12-21
400.0,2020-12-24
600.0,2020-12-28
400.0,2020-12-31
600.0,2021-01-04
400.0,2021-01-07
600.0,2021-01-11
400.0,2021-01-14
600.0,2021-01-18
400.0,2021-01-21
600.0,2021-01-25
400.0,2021-01-28
600.0,2021-02-01
400.0,2021-02-04
600.0,2021-02-08
400.0,2021-02-11
600.0,2021-02-15
400.0,2021-02-18
600.0,2021-02-22
400.0,2021-02-25
600.0,2021-03-01
400.0,2021-03-04
600.0,2021-03-08
400.0,2021-03-11
600.0,2021-03-15
400.0,2021-03-18
600.0,2021-03-22
400.0,2021-03-25
600.0,2021-03-29
400.0,2021-04-01
600.0,2021-04-05
400.0,2021-04-08
600.0,2021-04-12
400.0,2021-04-15
600.0,2021-04-19
400.0,2021-04-22
600.0,2021-04-26
400.0,2021-04-29
600.0,2021-05-03
400.0,2021-05-06
600.0,2021-05-10
400.0,2021-05-13
600.0,2021-05-17
400.0,2021-05-20
600.0,2021-05-24
400.0,2021-05-27
600.0,2021-05-31
400.0,2021-06-03
600.0,2021-06-07
400.0,2021-06-10
600.0,2021-06-14
400.0,2021-06-17
600.0,2021-06-21
400.0,2021-06-24
600.0,2021-06-28
400.0,2021-07-01
600.0,2021-07-05
400.0,2021-07-08
600.0,2021-07-12
400.0,2021-07-15
600.0,2021-07-19
400.0,2021-07-22
600.0,2021-07-26
400.0,2021-07-29
600.0,2021-08-02
400.0,2021-08-05
600.0,2021-08-09
400.0,2021-08-12
600.0,2021-08-16
400.0,2021-08-19
600.0,2021-08-23
400.0,2021-08-26
600.0,2021-08-30
400.0,2021-09-02
600.0,2021-09-06
400.0,2021-09-09
600.0,2021-09-13
400.0,2021-09-16
600.0,2021-09-20
400.0,2021-09-23
600.0,2021-09-27
400.0,2021-09-30
600.0,2021-10-04
400.0,2021-10-07
600.0,2021-10-11
400.0,2021-10-14
600.0,2021-10-18
400.0,2021-10-21
600.0,2021-10-25
400.0,2021-10-28
600.0,2021-11-01
400.0,2021-11-04
600.0,2021-11-08
400.0,2021-11-11
600.0,2021-11-15
400.0,2021-11-18
600.0,2021-11-22
400.0,2021-11-25
600.0,2021-11-29
400.0,2021-12-02
600.0,2021-12-06
400.0,2021-12-09
600.0,2021-12-13
400.0,2021-12-16
600.0,2021-12-20
400.0,2021-12-23
600.0,2021-12-27
400.0,2021-12-30
600.0,2022-01-03
400.0,2022-01-06
600.0,2022-01-10
400.0,2022-01-13
600.0,2022-01-17
400.0,2022-01-20
600.0,2022-01-24
400.0,2022-01-27
600.0,2022-01-31
400.0,2022-02-03
600.0,2022-02-07
400.0,2022-02-10
600.0,2022-02-14
400.0,2022-02-17
600.0,2022-02-21
400.0,2022-02-24
600.0,2022-02-28
400.0,2022-03-03
600.0,2022-03-07
400.0,2022-03-10
